CustomerID,ProductID,ReviewDate,Rating,ReviewText,SentimentScore,SentimentCategory,SentimentBucket
C049,P044,2024-08-01,1,Complete waste of money,-0.4215,Negative,-0.49 to 0.0
C024,P063,2024-11-04,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C044,P036,2024-07-10,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C036,P072,2025-05-05,1,Terrible product,-0.4767,Negative,-0.49 to 0.0
C011,P031,2025-04-03,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C072,P098,2024-06-05,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C083,P092,2024-08-07,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C012,P038,2025-02-26,3,Average product,0.0,Neutral,0.0 to 0.49
C032,P040,2025-03-23,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C061,P071,2025-04-10,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C096,P071,2024-08-22,3,Average product,0.0,Neutral,0.0 to 0.49
C059,P035,2025-01-12,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C016,P093,2025-03-12,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C096,P069,2024-11-28,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C024,P025,2024-05-27,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C036,P093,2024-12-08,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C077,P037,2025-03-22,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C038,P030,2025-02-11,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C002,P091,2024-06-28,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C006,P007,2024-11-03,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C017,P082,2024-07-06,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C014,P002,2024-12-14,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C062,P057,2024-10-05,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C033,P062,2024-06-03,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C052,P063,2024-09-01,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C088,P007,2024-10-18,3,Average product,0.0,Neutral,0.0 to 0.49
C039,P011,2024-06-22,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C072,P098,2024-11-12,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C080,P029,2024-12-18,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C058,P057,2025-02-08,3,Average product,0.0,Neutral,0.0 to 0.49
C055,P040,2025-02-28,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C079,P095,2024-12-22,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C081,P028,2025-02-04,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C021,P031,2024-10-11,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C021,P001,2024-10-07,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C077,P061,2024-05-23,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C037,P091,2025-03-23,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C010,P088,2025-03-24,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C081,P076,2024-06-21,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C055,P015,2025-02-20,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C020,P035,2024-07-30,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C008,P022,2024-11-25,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C096,P073,2025-05-01,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C016,P060,2024-11-16,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C052,P035,2024-06-26,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C057,P011,2024-10-17,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C095,P042,2025-01-31,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C012,P030,2024-07-19,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C076,P003,2025-04-21,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C035,P074,2024-09-13,1,Terrible product,-0.4767,Negative,-0.49 to 0.0
C061,P067,2024-07-18,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C024,P075,2025-02-25,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C012,P061,2024-12-22,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C042,P086,2024-07-12,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C043,P053,2025-02-21,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C085,P052,2025-05-11,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C005,P059,2024-06-10,2,Some quality issues,0.0,Negative,0.0 to 0.49
C042,P015,2025-02-10,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C066,P001,2025-05-06,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C060,P053,2025-03-09,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C047,P080,2024-10-11,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C057,P098,2024-07-24,2,Some quality issues,0.0,Negative,0.0 to 0.49
C071,P017,2024-10-13,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C090,P063,2025-02-08,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C078,P031,2025-01-08,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C071,P002,2025-03-21,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C029,P015,2024-10-20,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C083,P020,2025-01-12,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C038,P066,2025-01-30,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C062,P061,2025-01-30,3,Average product,0.0,Neutral,0.0 to 0.49
C019,P050,2025-02-23,3,Average product,0.0,Neutral,0.0 to 0.49
C066,P096,2024-07-31,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C036,P099,2024-10-14,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C044,P065,2025-04-23,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C037,P093,2024-09-17,3,Average product,0.0,Neutral,0.0 to 0.49
C075,P085,2024-09-08,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C058,P069,2024-06-24,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C071,P098,2024-11-30,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C042,P025,2025-02-14,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C074,P050,2024-07-08,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C006,P041,2024-09-24,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C049,P050,2024-08-16,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C020,P064,2024-11-20,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C065,P076,2025-02-11,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C057,P013,2025-05-07,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C002,P093,2025-04-15,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C020,P010,2024-10-31,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C044,P080,2024-05-15,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C011,P043,2025-04-10,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C049,P041,2024-08-01,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C070,P005,2024-08-20,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C081,P088,2024-10-27,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C096,P012,2024-12-28,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C098,P082,2025-03-19,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C057,P022,2024-12-05,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C006,P042,2024-11-05,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C046,P048,2024-08-17,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C068,P053,2024-10-21,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C022,P023,2025-03-28,2,Some quality issues,0.0,Negative,0.0 to 0.49
C080,P088,2025-01-28,3,Average product,0.0,Neutral,0.0 to 0.49
C019,P030,2024-05-23,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C059,P033,2025-02-16,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C037,P087,2024-06-05,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C057,P045,2025-01-11,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C082,P055,2024-11-22,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C039,P026,2024-12-11,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C014,P031,2024-05-19,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C074,P038,2024-10-04,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C003,P085,2024-12-26,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C073,P088,2025-01-27,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C078,P096,2025-01-26,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C100,P030,2024-10-22,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C029,P082,2024-05-21,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C087,P097,2024-10-13,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C088,P018,2025-03-02,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C083,P006,2025-03-18,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C005,P075,2024-10-01,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C012,P038,2025-03-27,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C023,P026,2024-10-05,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C047,P068,2024-09-15,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C022,P033,2024-09-05,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C038,P096,2024-08-16,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C060,P010,2025-02-01,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C087,P093,2024-11-18,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C072,P047,2024-06-24,2,Some quality issues,0.0,Negative,0.0 to 0.49
C002,P034,2024-07-27,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C048,P087,2025-01-01,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C075,P049,2024-11-13,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C014,P087,2024-08-09,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C080,P072,2024-09-07,3,Average product,0.0,Neutral,0.0 to 0.49
C029,P083,2025-04-28,2,Some quality issues,0.0,Negative,0.0 to 0.49
C090,P039,2024-05-31,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C018,P006,2024-09-26,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C064,P015,2024-05-30,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C018,P050,2024-06-11,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C096,P090,2025-04-23,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C076,P096,2024-06-03,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C084,P013,2024-06-30,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C053,P036,2025-01-03,1,Complete waste of money,-0.4215,Negative,-0.49 to 0.0
C028,P057,2024-09-18,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C047,P013,2025-04-18,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C070,P083,2024-12-28,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C036,P025,2024-08-01,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C012,P085,2025-02-09,3,Average product,0.0,Neutral,0.0 to 0.49
C077,P003,2024-10-04,2,Some quality issues,0.0,Negative,0.0 to 0.49
C032,P017,2025-04-26,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C009,P098,2024-07-03,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C028,P030,2024-09-13,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C077,P001,2025-05-02,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C017,P070,2024-05-31,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C015,P085,2024-11-16,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C002,P046,2024-11-02,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C076,P042,2024-09-18,1,Complete waste of money,-0.4215,Negative,-0.49 to 0.0
C007,P017,2024-05-31,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C015,P096,2024-05-30,2,Some quality issues,0.0,Negative,0.0 to 0.49
C100,P047,2025-04-05,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C058,P065,2025-01-09,3,Average product,0.0,Neutral,0.0 to 0.49
C006,P094,2024-11-13,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C067,P039,2024-10-28,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C008,P062,2025-01-13,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C088,P014,2024-09-05,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C010,P011,2025-02-28,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C009,P017,2024-07-03,3,Average product,0.0,Neutral,0.0 to 0.49
C075,P071,2024-06-10,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C077,P068,2025-01-13,3,Average product,0.0,Neutral,0.0 to 0.49
C078,P056,2024-12-14,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C015,P084,2024-08-28,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C093,P028,2025-01-28,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C053,P044,2025-01-24,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C054,P094,2024-10-21,2,Some quality issues,0.0,Negative,0.0 to 0.49
C041,P086,2024-06-17,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C088,P061,2025-04-30,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C012,P056,2024-12-31,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C048,P017,2024-08-18,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C072,P072,2024-06-10,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C053,P046,2025-01-15,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C093,P007,2024-10-05,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C040,P046,2025-02-07,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C028,P020,2025-03-06,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C014,P045,2025-03-10,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C015,P098,2025-04-17,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C055,P072,2024-08-29,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C079,P087,2024-08-08,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C078,P085,2024-07-02,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C004,P024,2025-04-11,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C044,P045,2024-07-13,1,Terrible product,-0.4767,Negative,-0.49 to 0.0
C073,P085,2024-09-13,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C095,P082,2025-03-20,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C096,P068,2025-01-08,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C059,P044,2024-11-17,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C093,P042,2025-01-27,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C077,P011,2024-05-13,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C021,P097,2025-02-25,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C011,P035,2024-05-15,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C063,P078,2024-12-11,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C028,P097,2025-01-05,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C056,P015,2025-04-28,3,Average product,0.0,Neutral,0.0 to 0.49
C076,P063,2024-10-25,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C006,P029,2024-08-08,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C008,P001,2025-03-25,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C099,P018,2024-12-31,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C042,P016,2024-10-27,1,Would never buy again,0.0,Negative,0.0 to 0.49
C056,P023,2025-01-06,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C091,P030,2024-12-15,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C046,P010,2024-08-13,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C006,P056,2024-08-17,1,Terrible product,-0.4767,Negative,-0.49 to 0.0
C041,P074,2025-02-23,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C091,P082,2024-06-16,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C052,P003,2024-11-29,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C080,P059,2024-12-24,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C012,P056,2025-01-02,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C056,P076,2025-03-03,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C051,P040,2024-09-16,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C043,P100,2024-07-20,3,Average product,0.0,Neutral,0.0 to 0.49
C082,P015,2024-09-28,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C100,P045,2024-06-16,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C019,P031,2025-02-10,2,Some quality issues,0.0,Negative,0.0 to 0.49
C026,P023,2024-07-24,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C010,P023,2024-11-05,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C064,P060,2025-01-28,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C058,P088,2024-10-17,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C083,P082,2024-07-07,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C081,P041,2025-03-19,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C061,P057,2024-09-05,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C076,P008,2025-03-12,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C040,P060,2024-09-02,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C048,P037,2024-07-20,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C079,P077,2025-03-05,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C075,P071,2024-12-30,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C006,P058,2025-03-03,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C084,P025,2025-04-11,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C065,P020,2024-11-05,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C014,P044,2024-08-12,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C065,P083,2024-10-14,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C091,P057,2024-11-27,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C067,P079,2025-05-06,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C037,P050,2024-08-14,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C087,P077,2025-03-05,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C083,P043,2024-11-30,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C072,P087,2024-10-16,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C093,P085,2025-02-23,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C020,P043,2025-02-25,2,Not worth the price,-0.1695,Negative,-0.49 to 0.0
C019,P045,2025-02-16,3,Average product,0.0,Neutral,0.0 to 0.49
C090,P085,2024-11-09,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C091,P011,2025-02-20,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C083,P043,2024-06-17,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C090,P095,2024-09-08,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C012,P083,2024-08-30,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C047,P003,2024-11-21,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C028,P044,2024-12-11,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C025,P029,2025-04-27,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C010,P038,2025-03-05,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C065,P099,2024-12-19,4,Would definitely recommend,0.6369,Positive,0.5 to 1.0
C068,P005,2024-09-23,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C017,P077,2024-12-12,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C024,P089,2024-07-22,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C093,P057,2024-12-25,1,Complete waste of money,-0.4215,Negative,-0.49 to 0.0
C087,P093,2025-01-26,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C079,P037,2024-06-19,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C030,P069,2024-08-26,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C025,P048,2024-11-02,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C057,P060,2025-02-11,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C065,P068,2024-05-20,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C026,P078,2025-02-11,2,Some quality issues,0.0,Negative,0.0 to 0.49
C007,P083,2025-03-26,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C071,P014,2024-05-29,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C016,P037,2024-08-15,2,Could be better,0.4404,Mixed Negative,0.0 to 0.49
C035,P058,2024-06-28,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C056,P012,2024-07-27,5,Absolutely love this product!,0.6989,Positive,0.5 to 1.0
C058,P045,2024-09-21,5,Best purchase I've made this year!,0.6696,Positive,0.5 to 1.0
C007,P051,2025-03-02,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C050,P011,2024-08-13,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C041,P013,2024-06-16,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C043,P019,2024-09-08,2,Some quality issues,0.0,Negative,0.0 to 0.49
C061,P090,2024-10-25,5,Exceeded all my expectations,0.0,Positive,0.0 to 0.49
C061,P058,2025-01-19,4,Great quality for the price,0.6249,Positive,0.5 to 1.0
C003,P033,2024-10-17,3,"It's okay, nothing special",-0.092,Mixed Negative,-0.49 to 0.0
C071,P094,2024-06-10,4,Very satisfied with this purchase,0.4754,Positive,0.0 to 0.49
C015,P100,2024-07-08,3,Meets basic expectations,0.0,Neutral,0.0 to 0.49
C016,P007,2025-03-22,3,Average product,0.0,Neutral,0.0 to 0.49
